006d 007c 0069 006e 0075 0074 007c 00eb	006d 002d,006d,0069 006e,0075,002d 002d,006e,0075 002d,0075,0074 002d,0074,00eb	minutė
0073 007c 0107 006b 0075 006e 007c 0064 007c 00eb	0073 002d,0073,0107 006b,0075,002d 002d,006b,0075 002d,0075,006e 0064 002d,0064,00eb	sekundė
006d 0155 006d 0155	006d,0155,002d 002d,006d,0155 006d,0155,002d 002d,006d,0155	mama
0074 007c 00eb 0074 007c 0069 0073	0074 002d,0074,00eb 002d,00eb,0074 002d,0074,0069 002d,0069,0073	tėtis
0073 007c 0107 0073 0075 006f	0073 002d,0073,0107 0073,0075,002d 0075,006f,002d 002d,0075,006f	sesuo
0062 0072 00f3 006c 007c 0069 0073	0062 0072,00f3,002d 002d,0072,00f3 006c,007c 002d,006c,0069 002d,0069,0073	brolis
0073 007c 0107 006e 007c 0107 006c 007c 0069 0073	0073 002d,0073,0107 002d,0107,006e 002d,006e,0107 006c,007c 002d,006c,0069 002d,0069,0073	senelis
0073 007c 0107 006e 007c 0107 006c 007c 00eb	0073 002d,0073,0107 002d,0107,006e 002d,006e,0107 006c,007c 002d,006c,00eb	senelė
0074 007c 0107 0074 0155	0074 002d,0074,0107 0074,0155,002d 002d,0074,0155	teta
0064 007c 00eb 0064 007c 00eb	0064 002d,0064,00eb 002d,00eb,0064 002d,0064,00eb	dėdė
0070 0075 007a 0062 0072 00f3 006c 007c 0069 0073	0070,0075,002d 002d,0070,0075 002d,0075,007a 0062 0072,00f3,002d 002d,0072,00f3 006c,007c 002d,006c,0069 002d,0069,0073	pusbrolis
0070 0075 0073 007c 0073 007c 0107 0073 007c 0107 0072 007c 00eb	0070,0075,002d 002d,0070,0075 002d,0075,0073 0073 002d,0073,0107 002d,0107,0073 002d,0073,0107 002d,0107,0072 002d,0072,00eb	pusseserė
006e 006f 0072 006d 0061 006c 0069 007a 0065 0064	006e,006f,002d 002d,006e,006f 002d,006f,0072 006d,0061,002d 002d,006d,0061 006c,0069,002d 002d,006c,0069 007a,0065,002d 002d,007a,0065 002d,0065,0064	# word
0061 0061	0061 0061	aa
0061 0062	0061 002d,0061,0062	ab
0061 0063	0061 002d,0061,0063	ac
0061 0064	0061 002d,0061,0064	ad
0061 0065	0061 0065	ae
0061 0066	0061 002d,0061,0066	af
0061 0067	0061 002d,0061,0067	ag
0061 0067 0075 0072 006b 0061 0073	0061 0067,0075,002d 002d,0067,0075 002d,0075,0072 006b,0061,002d 002d,006b,0061 002d,0061,0073	agurkas
0061 0068	0061 002d,0061,0068	ah
0061 0069	0061,0069,002d 002d,0061,0069	ai
0061 006a	0061 002d,0061,006a	aj
0061 006b	0061 002d,0061,006b	ak
0061 006c	0061 002d,0061,006c	al
0061 006d	0061 002d,0061,006d	am
0061 006e	0061 002d,0061,006e	an
0061 006f	0061 006f	ao
0061 0070	0061 002d,0061,0070	ap
0061 0072	0061 002d,0061,0072	ar
0061 0073	0061 002d,0061,0073	as
0061 0074	0061 002d,0061,0074	at
0061 0075	0061,0075	au
